"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf, phone, email)","Facebook page url","Over 500 likes on FB (y/n)","logo_url","photo_url",
"Peggy & Renee's Fired Art Studio","http://peggyandrenees.com/","renee@peggyandrenees.com","29 Main Street","Akron",17501,"717-859-5566",,"PA",,,"yes","no","yes","Drawing and Painting",,,,,,,,,,,,"no",,"cant find one","cant find one",
"The Art Association of Harrisburg","http://artassocofhbg.iarbiz.com/CP9bLJ3V_8U=","carrie@artassocofhbg.com","21 North Front Street","Harrisburg",17101,"717-839-5161","The Art Association of Harrisburg, founded in 1926, is a hub of Central PA cultural events.  The galleries in the historic Governor Findlay Mansion across from Riverfront Park provide exhibition opportunities for regional and nationwide artists. The AAH also offers art classes for children and adults in Central PA.","PA",2,18,"yes","no","no","Pottery","Drawing and Painting","Sculpture","Photography and Video",,,,,,70,"per session","web form","https://www.facebook.com/ArtAssocofHbg","yes","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/1936157_99352838491_5817236_n.jpg?oh=aa5adae4a2c3538bf34c782c48e47c4e&oe=54D6ABF3&__gda__=1423164625_c72bd63193ac32d6ca05c9e5b1964a9f","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10314711_10152210649458492_1372059428782684762_n.jpg?oh=d013697d099f5fef14dff57e5dbe7971&oe=54D3851A&__gda__=1423872503_935a412d8c26056087a424b977db97d9",
"Palette Kids,Inc.","http://www.palettekids.com/","palettekids@gmail.com","116 S. 19th Street, 3rd Floor","Philadelphia",19103,"267-808-0959","PALETTE KIDS INC is an independent fine arts studio for children ages five and older whose atmosphere is conceptualized through your child imagination and artistic visions.
The life long dream of Philadelphia bred POP ARTIST PERRY MILOU; ‘’Palette Kids’’ embodies a simple credo…one hundred percent freedom of creativity for your children 100 percent of the time. We call our concept…. unstructured structure! Simply put, the studio sets limitless artistic boundaries for your child inspirational desires. Whether it be a 3-d Matisse inspired goldfish stillife, a New York City skyline diorama, or a paper mache stiletto… the palette kids orchestrate the show
Our mission will always remain focused on developing the fundamental skills and teaching of fine art Children are encouraged to explore drawing, painting and sculpture from life It is this emphasis that has envisioned the studio’s creation of a larger than life 8 ft sketch pad to sharpen your child’s most basic yet important artistic skills. Large gestural drawing exercises are practiced frequently, while techniques in all mediums are taught from basics to very advanced levels.
The studio’s youth program operates daily, specializing in dynamic classes that are small and individualized. On weekends Palette Kids caters to birthday parties and special events for all ages. Children are also offered the exciting opportunity to go ’’one on one’’ for private instruction with Perry!
Milou, a nationally recognized and prolific pop artist brings his diverse talents and pedigree to ignite a daily open studio encouraging your child’s fascination of art to flourish at every opportunity. The development of the studio in Philadelphia’s renown Rittenhouse Square area is the artist’s finest contribution to date. An art educated for over 20 years, Perry’s love of children and sparkling personality creates a dynamic hybrid of professionalism, safety and fun to all of his students.","PA",2,17,"yes",,"yes","Drawing and Painting","Creative Arts","Crafts",,,,,,,,,"phone, online","https://www.facebook.com/PaletteKids","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/224084_182034248512360_4484370_n.jpg?oh=bc19962302ad4262c9e9a7fbd8468185&oe=54DB75BD","http://www.palettekids.com/media/k2/items/cache/8b6e33345ac8d5ffd9cf0d107a7d9e9d_L.jpg",
"St. John's School of the Arts","http://schoolofthearts.susumc.org/","stjnsotadir@verizon.net","2101 Newberry Street","Williamsport","17701-1361","570.327.5575","The philosophy and purpose of the Saint John's School of the Arts (SOTA) is to offer the children, youth, and adults of the Greater Williamsport area a school devoted to excellent training in music and the fine arts, in an atmosphere and environment supporting the Christian ethic. An average of more than 200 students (per semester) enroll in our year-round programs!","PA",4,18,"yes",,"no","Music","Dance",,,,,,,,,,"phone","https://www.facebook.com/sotafriends","no","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/386370_237779106285395_1949991238_n.jpg?oh=40c5356ea2b0072df26e7a50cf84b6c4&oe=54D623C5&__gda__=1425233548_a8aed47341c0ea7151e6e8cfd478b6e1","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/531441_327321813997790_80102108_n.jpg?oh=ee0d4a616a435da17165b0b2b1688b52&oe=54D2F0DF&__gda__=1424975126_a62252bc38f36af9ebdd80958adf5d5f",
"The Art Shoppe","http://theartshoppegallery.com/","theartshoppe@comcast.net","The Schoolhouse Business Center
10 Cherry Avenue, Suite 204","Houston",15342,"724-413-9521","Becky Mayhew attended the Art Institute of Pittsburgh where she graduated with honors in 1980. She worked as both a full-time and freelance artist doing graphic design, caricatures, cartooning, drafting & illustration.
beckyOver the past 25 years her teaching experience has included a wide range of subjects including: general art curriculum, yearbook, drafting, graphic design, and drama at Lakeview Christian Academy in Bridgeville, PA. She has also taught caricature workshops at the Art Institute of Pittsburgh and has been a guest lecturer at Duquesne University, and several local art leagues.
Since the inception of The Art Shoppe in 2004, Becky has taught a wide variety of classes that include all drawing and painting mediums and subjects, cartooning and calligraphy to large and small groups as well as one-on-one classes with ages ranging from grade school through adults. She enjoys seeing the look of amazement on the faces of new students who never thought they could draw or paint and having that sense of accomplishment when they finish a piece of art. One of her sayings is, “Most people think they can’t draw– perhaps it’s because no one ever taught them how.”","PA",6,,"yes",,,"Drawing and Painting","Cartooning",,,,,,,"calligraphy",10,"per class","phone","https://www.facebook.com/theartshoppepa",,"http://theartshoppegallery.com/wp-content/uploads/2013/01/OvalLogo1.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10645234_1485749455016800_1377139317366756027_n.jpg?oh=4b5057822ef6b7bb1cf673af0ebd529a&oe=54D2269D",
"Pittsburgh Glass Center","https://www.pittsburghglasscenter.org/","sent email through site","5472 Penn Avenue","Pittsburgh",15206,"(412) 365-2145","Pittsburgh Glass Center is a nonprofit, public access school, gallery and state-of-the-art glass studio dedicated to teaching, creating and promoting glass art. World-renowned glass artists come here to make studio glass art. People interested in learning more about glass come here to take a class, explore the contemporary glass gallery and watch live hot glass demonstrations.","PA",,,"yes",,,,,,,,,,,"glass blowing",,,"phone","https://www.facebook.com/pittsburghglasscenter","yes","http://www.codexapparition.com/wp-content/uploads/pittsburg_glass_center_logo.jpg","https://s3.amazonaws.com/pgc_production/images/51/inline/sio2_main2.jpg?1360695727",
"The Braun School of Music","http://lokoch.wix.com/thebraunschool","sent email through site",,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/TheBraunSchoolOfMusic",,,,
"Monart School Of Art","http://www.you2candraw.com/","Karen@you2candraw.com","74 Oak Spring Road","Washington",15301,"724-263-3265","Monart is more than a method that teaches people to draw.  Leading educators recognize Monart as a way students can use several learning styles by teaching them how to focus and concentrate, make decisions, solve problems, plan, sequence and develop hand-eye coordination.  Just like a student learns to perceive what they wnat to draw in terms of basic elements of shape, and to develop the skills they need to translate that information on to paper.  Since 1979, Monart has been taught around the world.  The Monart method has achieved astounding results with children and adults without previous training or ""talent.""  A desire to learn to draw is all that is required.

  Each week the lesson is planned by the instructor on a particular theme, giving enough structure to insure success, and enough freedom for independent creativity.  In a non-competitive, peaceful environment students are taught that there is no wrong way to draw.  The curriculum is balanced and includes a wide range of subjects and media.

  Mona Brooke's best selling books, Drawing With Children and Drawing For Older Children and Teens, are available in book stores.  Established 1979. Visit Monart website for schools and more information: www.monart.com","PA",4,,"yes",,,"Drawing and Painting",,,,,,,,,14,"per class","pdf","https://www.facebook.com/MonartSchoolOfArtWashingtonPa","no","http://www.you2candraw.com/images/19610454_96ut.jpg","didnt see any others",
"Lancaster County Art Assn Inc","http://www.lcaaonline.org/","lcaanews@yahoo.com","149 Precision Ave.","Strasburg",17579,"(717) 687-7061","The LCAA is the County's oldest arts organization offering support for the visual arts through exhibition opportunities for artists as well as art classes, workshops, special programs, and opportunities to see the work of local artists and artists from outside of Lancaster County in special exhibits.","PA",7,18,"yes",,,"Drawing and Painting",,,,,,,,,60,"per class","pdf","https://www.facebook.com/LancasterCountyArtAssociation","yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p160x160/10339667_10152386416163360_1944120151528007889_n.jpg?oh=474ee78de12eb491c1509f00f6b9726c&oe=54EF1BCB&__gda__=1423146842_fbb512267b7b2b74b43d87d5549c0554","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10264740_10152387066768360_1424336900067836317_n.jpg?oh=1c90b491d2943110f0491b11106fd38e&oe=551F0A08",
"Young Rembrants","http://www.youngrembrandts.com/","info@youngrembrandts.com","8322 Pennsylvania Ave","Irwin",15642,"(724) 863-3757","Founded in 1988 by Bette Fetter, Young Rembrandts has become a recognized leader in art education. What began as one person, working with children in her home, has developed into an international business that teaches drawing to thousands of students every week.

Fetter applied her fine arts education and background in child development to create an original, step-by-step method to teach children drawing, the fundamental skill of all visual arts.

Research and education experts say what Young Rembrandts has always delivered: there is a significant correlation between involvement in the arts and achievement in the classroom. Children who learn to draw using the Young Rembrandts method develop spatial reasoning and fine motor skills, order and sequencing abilities, visualization, and self-discipline as well as fundamental art skills. Our original curriculum introduces concrete ideas and techniques that enlarge their visual vocabularies, enrich their imaginations and their minds.

Today, Young Rembrandts partners with pre-schools, elementary schools and community centers to either augment or supply their art education programs. Young Rembrandts has a solid reputation for offering well-organized classes and teaching original, high quality curriculum in a positive environment.","PA",3.5,12,"yes",,,"Drawing and Painting",,,,,,,,,,,,,,"http://www.youngrembrandts.com/images/logo_young_rembrandts.png",,
"Community Music School","http://www.cmslv.org/","blbloise@allentownsymphony.org","23 N 6th St","Allentown",18101,"(610) 435-7725","CMS offers private instruction in accordion, bass, cello, clarinet, flute, flutophone, guitar, percussion, piano, piccolo, recorder, saxophone, trombone, trumpet, voice, violin, viola. CMS also offers various opportunities for ensemble work. Some of the ongoing groups include CMS Chorus Kids, Fusion Vocal Ensemble,  Silver Winds Flute Choir, Thursday Flute Choir, Impressions Jazz Ensemble. Several new ensembles are listed in our guide also. And, you learn an assortment of repertoire from Bach to Rhythm and Blues, pop – jazz – Latin – contemporary – and classical; what is your favorite? In addition, CMS offers multiple performance opportunities once you are ready to perform. Find it here, learn from some of the best professional musicians in the Lehigh Valley and perform with others! CMS is home to Budding Musicians!

CMS also offers coaching sessions to help any student with special needs for performance. Are you in a play? Are you looking to enroll in a Charter School? Need theory for college? CMS can help you on your musical journey","PA",6,18,"yes",,,"Music",,,,,,,,,72,"per session","phone","https://www.facebook.com/CMSAllentown","no","http://www.cmslv.org/images/header42913a.jpg","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10295772_10152135816217333_1637851070829592387_n.jpg?oh=683d3b007f83ea99d8eef7102161f79e&oe=54F4742F&__gda__=1424761913_dde997b4bec1a04b085934294748ca99",
"Portside Art Center","http://www.portsideartscenter.org/","portsideartscenter@gmail.com","2531 E. Lehigh Avenue","Philadelphia",19125,"215-427-1514","Our mission is to empower the children and adults of our community with opportunities to develop their artistic abilities, awaken the imagination, and build self-esteem and confidence.  Through the Arts we provide a safe haven for our community to nurture creativity, diversity, literacy and health for the betterment of all.

By building self-awareness, and appreciation of one's own inner creativity and artistic skills, we aim to transform the lives of individuals, improve their academic and economic success and awaken a person's social and civic sense in order to raise the quality of life in our neighborhoods.","PA",3,18,"yes","yes","yes","Drawing and Painting","Music","Lego","Dance","Creative Arts","Pottery","Photography and Video","Sewing","theatre",55,"per session","webform","https://www.facebook.com/PortsideArtsCenter.org","yes","http://www.portsideartscenter.org/uploads/1/2/5/0/12505151/1407251284.png","http://www.portsideartscenter.org/uploads/1/2/5/0/12505151/7302518.jpg?336",
"Mermaid Art Studios","http://mermaidartstudios.com/","art@mermaidartstudios.com","15 E. Butler Avenue","Ambler",19002,"(215) 619-4757","At Mermaid Art Studios, the world of creativity and imagination are yours to explore.

In addition to our full list of classes and workshops, we are available at your convenience for custom projects by appointment only","PA",5,,"yes",,"yes","Drawing and Painting","Ceramics",,,,,,,,160,"per session","webform","https://www.facebook.com/MermaidArtStudios","yes","http://33b9h03od4ib2o8jty2spm3118cp.wpengine.netdna-cdn.com/wp-content/uploads/2013/08/mermaid-web-logo1.png","http://33b9h03od4ib2o8jty2spm3118cp.wpengine.netdna-cdn.com/wp-content/uploads/2014/08/2014-fallclass-home.jpg",
"Greater Norristown Art League","http://www.gnal.org/","contact@gnal.org","800 W. Germantown Pike","Norristown",19403,"610-539-3393","Greater Norristown Art League, Inc. is a non-profit organization with a 501 (c)(3) status engaged in the promotion and teaching of the Arts. Founded in 1941 and chartered in 1957, it is located in the Old Norriton Schoolhouse and is one of E. Norriton Township's ""Historical Resources.""

We offer day and evening classes for adults and children, workshops in all media, exhibition opportunities, life classes, Saturday classes and summer camps for children. Our monthly meetings are free and open to the public.","PA",6,,"yes","yes","yes","Drawing and Painting",,,,,,,,,85,"per session","email","https://www.facebook.com/GreaterNorristownArtLeague","yes","http://gnal.org/web%20logo.jpg","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/p417x417/557284_10151472445756619_1850929677_n.jpg?oh=168a0d9b442f87974931f9b6753004b3&oe=54F4CD97&__gda__=1425173127_c054045da6c7e2b72b2358a9a16ce8a6",
"School Of Visual & Performing Arts","http://www.schoolofvisualandperformingarts.org/","classes@schoolofvisualandperformingarts.org","554 Main St","Stroudsburg",18360,"(570) 424-5285","SVPA is a non profit organization dedicated to exposing educating and inspiring the public in the arts.","PA",3,18,"yes",,,"Dance","Creative Arts",,,,,,,"singing, theatre",11,"per class","phone","https://www.facebook.com/schoolofvisualandperformingarts","no","http://www.schoolofvisualandperformingarts.org/Home_Header_New_7-2014_72dpi.jpg","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10509591_681914105260658_5633769459819091026_n.jpg?oh=ef240a9411883ecd789ad20956afe781&oe=54E31000&__gda__=1424141788_a6d84f4d6b45009c13607288dafd4daf",
"Mark's Music","http://www.marksmusic.com/","marksmusic@verizon.net","50 North Buhl Farm Dr.","Hermitage",16148,"1 (800) 330-6510","Since 1947 Marks Music has artfully paired thousands of students with “the perfect” instrument choice. Marks Music offers only superior quality band and orchestral instruments which will withstand the rigors of elementary school, middle school, and especially the demands of high school marching band. Instruments for beginners, step-up horns, and professional models are all available at the store. Because Marks Music services each instrument it sells, only the most reliable instruments will be sold.
The Marks Music team has been around for four generations and so have many of its customers. It is an everyday sight to see grandparents, who once studied at the store and purchased instruments in the 1940’s, who are now bringing in their grandchildren and sometimes great grandchildren for instruments and for lessons. We are proud that we have been able to be a part of their musical experiences and we are proud to have served the Shenango Valley for 64 years.","PA",,,"yes",,,"Music",,,,,,,,,15,"per class","phone","https://www.facebook.com/marksmusic1947","yes","http://www.marksmusic.com/wp-content/themes/marks_music/images/img_HeaderLogo.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/217209_145730042160992_4889900_n.jpg?oh=afe96f7cd5d90a6df5777168628e7dd7&oe=54EC5A05",
"Philly Art Center","http://www.phillyartcenter.com/","info@phillyartcenter.com","Fairmount Art Center
2501 Olive Street, Philadelphia, PA 19130

Queen Village Art Center
514 Bainbridge Street, Philadelphia, PA 19147",,,"215-765-2787(ARTS)","Fairmount Art Center, founded in 2004 and Queen Village Art Center, founded in 2011 are members of Art Mark llc and are resources for creative education, serving the greater Philadelphia area.

We offer a wide range of program for adults and children.  Programs include weekly classes, one-time workshops, parties for all ages, single-day camps whenever schools are closed, week-long summer camps, a full after school program with walking pick up at area schools, private lessons, art therapy, music classes, and much more!

Our goal is to develop dynamic, creative thinkers while fostering joy for arts and self expression. We believe that what occurs during the process of art making is paramount. We strive to balance an approach that supports creative problem solving with age-appropriate skill and concept development.

Our directors, faculty, and staff are passionate about the important role art plays in learning, life, and community and we work exhaustively to bring you outstanding, exciting, and creative opportunities grounded in current educational theory. The Art Center’s highly skilled faculty offer diversity of experience with noted accomplishments as professional artists and educators. Students young and old experience a warm and welcoming atmosphere that fosters joy for creative learning! Let’s Get Creative!","PA",1,18,"yes","yes","yes","Drawing and Painting","Music","Pottery","Sewing",,,,,,133,"per session","online","https://www.facebook.com/pages/Philly-Art-Center/212160125492879","yes","https://scontent-b-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1908375_766265586748994_2567118348244355661_n.jpg?oh=d130dc37c2c12ef2ee5f6c07ea44c09f&oe=54DDDC02","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10304795_773120876063465_6158055581214129149_n.jpg?oh=e70367f2941dd2e325ceceeccdbce67b&oe=54E2E179&__gda__=1423728293_f3a131db050a4c2174c17aafc37705ef",
"Lancaster Conservatory-Music","http://www.lcmincpa.org/","info@lcmincpa.org","533 Janet Ave.","Lancaster",17601,"(717)394-7106","The Conservatory provides individualized instruction to meet the needs of our students. Lessons are available from the primary level through preparation for college auditions. Adult and homeschooled students are always most welcome. 

We encourage our students to participate in a variety of musical programs that may include recitals, festivals, ensembles and chamber music concerts. We offer private instruction in: Piano, Strings, Woodwinds, Brass, Voice, Theory, Composition and Early Childhood Music Studies.","PA",,,"yes",,,"Music",,,,,,,,,,,"phone","https://www.facebook.com/LCMusicPA","no","http://www.lcmincpa.org/uploads/3/5/2/4/3524373/1408408056.png","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/1505198_10152020120686048_2598988515176342799_n.jpg?oh=41a6682c406e7904318a426544ade115&oe=54F454DA",
